'Fremontodendron','californicum','California flannelbush'
'Triteleia','laxa','Ithuriels spear'
'Mimulus','primuloides','Primrose monkeyflower'
'Viola','sheltonii','Sheltons violet'
'Polemonium','californicum','Showy Jacobs ladder'
'Chaenactis','douglasii','Douglas dustymaiden'
'Castilleja','lineariloba','Pale owls clover'
'Zigadenus','venenosus','Death camas'
'Arabis','platysperma','Broad-seeded rock-cress'
'Calyptridium','monospermum','One-seeded pussy paws'
'Streptanthus','diversifolius','Varied-leaved jewelflower'
'Lilium','pardalinum','Leopard lily'
'Lomatium','torreyi','Torreys lomatium'
'Penstemon','davidsonii','Alpine penstemon'
'Lithophragma','affine','Woodland star'
'Sphenosciadium','capitellatum','Rangers buttons'
'Geranium','molle','Doves-foot geranium'
'Gilia','mediomontana','Globe gilia'
'Dudleya','cymosa','Canyon dudleya'
'Smilacina','racemosa','Large false Solomons seal'
'Asarum','hartwegii','Hartwegs wild ginger'
'Lewisia','glandulosa','Alpine lewisia'
'Heracleum','lanatum','Cow parsnip'
'Gilia','leptalea','Bridges gilia'
'Rumex','paucifolia','Alpine sheep sorrel'
'Juncus','nevadensis','Sierra Nevada rush'
'Carex','limosa','Mud sedge'
'Draperia','systyla','Draperia'
'Asclepias','speciosa','Showy milkweed'
'Triphysaria','eriantha','Butter and eggs'
'Parvisedum','pumilum','Sierra stonecrop'
'Eriogonum','incanum','Hoary buckwheat'
'Angelica','lineariloba','Sierra angelica'
'Sarcodes','sanguinea','Snow plant'
'Erigeron','algidus','Sierra daisy'
'Aquilegia','pubescens','Alpine columbine'
'Arenaria','kingii','Kings sandwort'
'Eriophyllum','lanatum','Woolly sunflower'
'Orthilia','secunda','One-sided wintergreen'
'Phyllodoce','breweri','Red mountain heather'
'Phlox','condensata','Condensed phlox'
'Clarkia','rhomboidea','Diamond clarkia'
'Lupinus','polyphyllus','Large-leaved lupine'
'Penstemon','parvulus','Purple penstemon'
'Epilobium','angustifolium','Fireweed'
'Viola','quercetorum','Oak violet'
'Senecio','hydrophilus','Water groundsel'
'Hypericum','anagalloides','Tinkers penny'
'Mimulus','bicolor','Yellow-and-white monkeyflower'
'Ligusticum','grayi','Lovage'
